ID,type,lng,lat,first_receive_tm,last_receive_tm,service_time
160,c,116.527949,39.847399,0,120,30
161,c,116.32641,39.884319,0,120,30
162,c,116.583582,39.762536,30,120,30
163,c,116.283098,39.777327,150,240,30
164,c,116.253246,39.905355,0,90,30
165,c,116.502255,39.953948,0,60,30
166,c,116.14839,39.867188,120,210,30
167,c,116.118358,39.744257,120,180,30
168,c,116.496966,40.09503,180,240,30
169,c,116.443437,40.020307,150,210,30
170,c,116.444703,39.860382,30,60,30
171,c,116.293638,39.945433,0,30,30
172,c,116.434328,39.881502,150,180,30
173,c,116.428901,40.143464,120,150,30
174,c,116.306186,40.124993,180,210,30
175,c,116.311595,40.016133,0,60,30
176,c,116.588646,39.793364,120,240,30
177,c,116.3824,39.74923,0,90,30
178,c,116.393017,40.031609,0,60,30
179,c,116.520403,39.925765,0,90,30
180,c,116.268232,39.774478,0,60,30
181,c,116.545907,39.809461,0,90,30
182,c,116.65685,39.892983,60,150,30
183,c,116.230996,39.778936,120,150,30
184,c,116.364302,39.878255,60,120,30
185,c,116.505,39.852726,30,60,30
186,c,116.614302,39.878936,180,240,30
187,c,116.409102,40.108765,60,90,30
188,c,116.489591,40.029592,30,60,30
189,c,116.233198,40.073006,90,120,30
190,c,116.322964,39.871833,60,90,30
191,c,116.494016,39.957116,30,150,30
192,c,116.207093,39.878158,0,120,30
193,c,116.447249,39.850796,60,180,30
194,c,116.250291,39.710107,30,120,30
195,c,116.40477,40.003738,0,90,30
196,c,116.416723,40.047786,180,240,30
197,c,116.544121,39.865704,150,210,30
198,c,116.652161,39.899866,180,240,30
199,c,116.64199,40.048796,180,210,30
200,c,116.381163,39.799075,180,210,30
201,f,116.443565,39.928613,0,960,0
202,f,116.635472,39.881807,0,960,0
203,f,116.250072,39.947178,0,960,0
204,f,116.181828,40.059878,0,960,0
205,f,116.20547,40.014398,0,960,0
206,f,116.615453,39.940907,0,960,0
207,f,116.676071,39.999942,0,960,0
208,f,116.238932,39.876511,0,960,0
209,f,116.288471,39.696481,0,960,0
210,f,116.567669,39.849793,0,960,0
211,f,116.51357,40.059974,0,960,0
212,f,116.372983,39.948923,0,960,0
213,f,116.354349,40.119763,0,960,0
214,f,116.154592,39.757396,0,960,0
215,f,116.199241,39.816129,0,960,0
216,f,116.519183,40.132792,0,960,0
217,f,116.231434,39.914733,0,960,0
218,f,116.326348,39.884547,0,960,0
219,f,116.263177,40.156093,0,960,0
220,f,116.206945,40.123683,0,960,0
221,f,116.464903,39.976683,0,960,0
222,f,116.327652,40.058998,0,960,0
223,f,116.473028,39.92786,0,960,0
224,f,116.144991,39.7951,0,960,0
225,f,116.298357,40.09348,0,960,0
226,f,116.44645,39.805575,0,960,0
227,f,116.267235,39.815651,0,960,0
228,f,116.169317,40.000579,0,960,0
229,f,116.405939,39.780384,0,960,0
230,f,116.224413,40.146151,0,960,0
231,f,116.12525,39.703999,0,960,0
232,f,116.706787,39.875348,0,960,0
233,f,116.597046,39.779727,0,960,0
234,f,116.42844,39.757199,0,960,0
235,f,116.345177,40.035371,0,960,0
236,f,116.549648,39.812085,0,960,0
237,f,116.304764,39.936147,0,960,0
238,f,116.55229,39.831011,0,960,0
239,f,116.569093,39.809453,0,960,0
240,f,116.147134,39.816921,0,960,0
241,f,116.667462,39.962808,0,960,0
242,f,116.447531,39.749953,0,960,0
243,f,116.43962,39.958358,0,960,0
244,f,116.217973,39.76426,0,960,0
245,f,116.243733,39.845854,0,960,0
246,f,116.309385,39.983787,0,960,0
247,f,116.368489,40.115393,0,960,0
248,f,116.195333,39.82118,0,960,0
249,f,116.404329,39.855657,0,960,0
250,f,116.190837,39.999309,0,960,0
251,f,116.397019,39.898967,0,960,0
252,f,116.205702,39.897979,0,960,0
253,f,116.647654,39.877709,0,960,0
254,f,116.529483,39.892154,0,960,0
255,f,116.627512,39.861314,0,960,0
256,f,116.198674,39.916612,0,960,0
257,f,116.69259,39.890214,0,960,0
258,f,116.536915,39.8932,0,960,0
259,f,116.636218,40.034586,0,960,0
260,f,116.189183,39.723445,0,960,0
261,f,116.327434,40.117239,0,960,0
262,f,116.568859,39.820563,0,960,0
263,f,116.28142,39.886103,0,960,0
264,f,116.243011,40.045608,0,960,0
265,f,116.327029,39.973866,0,960,0
266,f,116.402451,39.887482,0,960,0
267,f,116.654761,40.016388,0,960,0
268,f,116.690757,39.986581,0,960,0
269,f,116.663651,39.914927,0,960,0
270,f,116.62726,39.952109,0,960,0
271,f,116.171938,39.975946,0,960,0
272,f,116.303708,39.869474,0,960,0
273,f,116.670191,39.85574,0,960,0
274,f,116.452606,39.944367,0,960,0
275,f,116.348522,39.921335,0,960,0
276,f,116.47012,39.841993,0,960,0
277,f,116.386582,39.891243,0,960,0
278,f,116.206392,40.105408,0,960,0
279,f,116.424844,39.949347,0,960,0
280,f,116.264782,39.889347,0,960,0
281,f,116.552738,40.040233,0,960,0
282,f,116.348242,39.861767,0,960,0
283,f,116.253942,40.066961,0,960,0
284,f,116.270932,39.72485,0,960,0
285,f,116.277915,39.931578,0,960,0
286,f,116.454943,40.139756,0,960,0
287,f,116.298878,39.932117,0,960,0
288,f,116.588865,40.106109,0,960,0
289,f,116.245541,40.121379,0,960,0
290,f,116.369061,39.909143,0,960,0
291,f,116.181614,39.9143,0,960,0
292,f,116.469464,39.914106,0,960,0
293,f,116.370182,39.8785,0,960,0
294,f,116.471499,39.952107,0,960,0
295,f,116.510475,39.792837,0,960,0
296,f,116.253255,39.935127,0,960,0
297,f,116.576615,39.819001,0,960,0
298,f,116.270601,39.7424,0,960,0
299,f,116.142719,39.948894,0,960,0
300,f,116.398916,39.87007,0,960,0
